Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2001.1-2002.1,411,460,1.119221411192214,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2002.1-2003.1,234,254,1.0854700854700854,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2003.1-2004.1,237,238,1.0042194092827004,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2004.1-2005.1,237,236,0.9957805907172996,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2005.1-2006.1,238,236,0.9915966386554622,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2006.1-2007.1,238,244,1.0252100840336134,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2007.1-2008.1,238,230,0.9663865546218487,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2008.1-2009.1,238,234,0.9831932773109243,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2009.1-2010.1,238,232,0.9747899159663865,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2010.1-2011.1,238,234,0.9831932773109243,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2011.1-2012.1,238,236,0.9915966386554622,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2012.1-2013.1,238,240,1.0084033613445378,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2013.1-2014.1,236,232,0.9830508474576272,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2014.1-2015.1,236,234,0.9915254237288136,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2015.1-2016.1,236,222,0.940677966101695,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2016.1-2017.1,236,234,0.9915254237288136,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2017.1-2018.1,226,240,1.0619469026548674,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2018.1-2019.1,234,224,0.9572649572649573,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2019.1-2020.1,232,236,1.0172413793103448,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2020.1-2021.1,226,228,1.008849557522124,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
2021.1-2022.1,242,228,0.9421487603305785,Flow_Node0-Node5,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_large_2400_8-0_1\Flow_Node0-Node5.csv
