Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000008200912_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.008201,2000.008431,inf,0,7,2343.0,0.030655015222981186,0.030655015222981186,2.396369,inf,22,22
2000016393628_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.016394,2000.065639,inf,1,7,2327.5,"0.04247567084482785,0.030655015222981186",0.036565,2.396369,inf,22,22
2000024586899_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.024587,2000.065639,inf,1,7,2327.5,"0.04247567084482785,0.030655015222981186",0.036565,2.396369,inf,22,22
2000032780301_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.03278,2000.067529,inf,2,7,2327.5,"0.04247567084482785,0.04247567084482785,0.030655015222981186",0.038535,2.396369,inf,22,22
2000040977323_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.040977,2000.067529,inf,2,7,2327.5,"0.04247567084482785,0.04247567084482785,0.030655015222981186",0.038535,2.396369,inf,22,22
2000049174413_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.049174,2000.073472,inf,3,7,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.030655015222981186",0.039521,2.396369,inf,22,22
2000057375967_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.057376,2000.073472,inf,3,7,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.030655015222981186",0.039521,2.396369,inf,22,22
2000065569295_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.065569,2000.075442,0.243334,4,0,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000073769214_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.073769,2000.075442,0.235134,4,0,2327.5,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000081968628_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.081969,2000.082785,0.228924,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
2000090163170_Node0_Node4_Zero,"[0, 1, 2, 3, 4]",2000.090163,2000.090393,0.22073,4,0,2343.0,"0.04247567084482785,0.04247567084482785,0.04247567084482785,0.04247567084482785",0.042476,3.320415,3.320415,22,22
