Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000004100082_Node0_Node4_Zero,2000.010269,2000.01238,0,,0,6.363024822000001e-13,0
2000008200587_Node0_Node4_Zero,2000.016337,2000.018309,0,,1,6.947324622000001e-13,3.286686375000001e-14
2000012295667_Node0_Node4_Zero,2000.024295,2000.030178,0,,0,6.363024822000001e-13,0
2000016397082_Node0_Node4_Zero,2000.028211,2000.032348,0,,0,6.363024822000001e-13,0
2000020498296_Node0_Node4_Zero,2000.038951,2000.041122,0,,1,6.947324622000001e-13,0
2000024600474_Node0_Node4_Zero,2000.049791,2000.051722,0,,1,6.947324622000001e-13,0
2000028703661_Node0_Node4_Zero,2000.061884,2000.063855,0,,0,6.363024822000001e-13,0
2000032805730_Node0_Node4_Zero,2000.08495,2000.092768,0,,1,6.947324622000001e-13,0
2000036906277_Node0_Node4_Zero,2000.08686,2000.094876,0,,1,8.273896976677502e-14,0
2000041003748_Node0_Node4_Zero,2000.090845,2000.097076,0,,2,8.273896976677502e-14,0
2000045098149_Node0_Node4_Zero,2000.099834,2000.101965,0,,0,6.363024822000001e-13,0
2000049199157_Node0_Node4_Zero,2000.109663,2000.117516,0,,1,5.842998000000001e-14,3.286686375000001e-14
2000053300096_Node0_Node4_Zero,2000.123331,2000.12727,0,,2,6.947324622000001e-13,3.286686375000001e-14
2000057403436_Node0_Node4_Zero,2000.130002,2000.134088,0,,0,6.363024822000001e-13,0
2000061499066_Node0_Node4_Zero,2000.132152,2000.144079,0,,2,6.363024822000001e-13,0
2000065594548_Node0_Node4_Zero,2000.140176,2000.149974,0,,2,6.363024822000001e-13,0
2000069692757_Node0_Node4_Zero,2000.148063,2000.153979,0,,0,6.363024822000001e-13,0
2000073791483_Node0_Node4_Zero,2000.151961,2000.157844,0,,0,6.363024822000001e-13,0
2000077885001_Node0_Node4_Zero,2000.155869,2000.161849,0,,1,7.677699372000001e-13,0
2000081979035_Node0_Node4_Zero,2000.159876,2000.163817,0,,1,6.363024822000001e-13,0
2000086075924_Node0_Node4_Zero,2000.168532,2000.174405,0,,1,6.363024822000001e-13,0
2000090176545_Node0_Node4_Zero,2000.172338,2000.176555,0,,0,6.363024822000001e-13,0
2000094270540_Node0_Node4_Zero,2000.217602,2000.221488,0,,0,6.363024822000001e-13,0
2000098369320_Node0_Node4_Zero,2000.219532,2000.225413,0,,0,5.842998000000001e-14,0
2000102472482_Node0_Node4_Zero,2000.22346,2000.227356,0,,1,8.273896976677502e-14,0
2000106575570_Node0_Node4_Zero,2000.238106,2000.243979,0,,1,6.363024822000001e-13,0
2000110669964_Node0_Node4_Zero,2000.242041,2000.245969,0,,0,6.363024822000001e-13,0
2000114771331_Node0_Node4_Zero,2000.253714,2000.267093,0,,1,6.363024822000001e-13,0
2000118865327_Node0_Node4_Zero,2000.257508,2000.269003,0,,1,6.363024822000001e-13,0
2000122967568_Node0_Node4_Zero,2000.263231,2000.270873,0,,0,6.363024822000001e-13,0
2000127062144_Node0_Node4_Zero,2000.265121,2000.273003,0,,0,6.363024822000001e-13,0
2000131160460_Node0_Node4_Zero,2000.280269,2000.28218,0,,0,6.363024822000001e-13,0
2000135256088_Node0_Node4_Zero,2000.284216,2000.286168,0,,1,6.947324622000001e-13,0
2000139357442_Node0_Node4_Zero,2000.341586,2000.343537,0,,0,5.842998000000001e-14,3.286686375000001e-14
2000143453892_Node0_Node4_Zero,2000.348427,2000.358113,0,,1,6.363024822000001e-13,0
2000147552506_Node0_Node4_Zero,2000.354253,2000.360243,0,,0,6.363024822000001e-13,0
2000151652683_Node0_Node4_Zero,2000.356163,2000.362253,0,,0,5.842998000000001e-14,0
2000155754885_Node0_Node4_Zero,2000.372352,2000.378265,0,,2,6.947324622000001e-13,0
2000159850747_Node0_Node4_Zero,2000.37624,2000.380357,0,,1,8.273896976677502e-14,4.654067049381095e-14
2000163951288_Node0_Node4_Zero,2000.389941,2000.391993,0,,0,6.363024822000001e-13,7.070027580000001e-14
2000168050484_Node0_Node4_Zero,2000.39585,2000.403553,0,,1,6.363024822000001e-13,0
2000172146100_Node0_Node4_Zero,2000.401598,2000.405423,0,,1,6.947324622000001e-13,0
2000176247225_Node0_Node4_Zero,2000.409922,2000.411974,0,,0,5.842998000000001e-14,0
2000180345951_Node0_Node4_Zero,2000.455056,2000.460877,0,,0,5.842998000000001e-14,3.286686375000001e-14
2000184448396_Node0_Node4_Zero,2000.456993,2000.463037,0,,1,6.363024822000001e-13,0
2000188548546_Node0_Node4_Zero,2000.458883,2000.465157,0,,2,6.363024822000001e-13,0
2000192650872_Node0_Node4_Zero,2000.471789,2000.473981,0,,0,6.363024822000001e-13,0
2000196745307_Node0_Node4_Zero,2000.483913,2000.486104,0,,0,6.363024822000001e-13,0
2000200847466_Node0_Node4_Zero,2000.499738,2000.503604,0,,1,7.953781027500001e-13,0
2000204942702_Node0_Node4_Zero,2000.501688,2000.507594,0,,2,7.953781027500001e-13,0
2000209042924_Node0_Node4_Zero,2000.509426,2000.511617,0,,0,6.363024822000001e-13,0
2000213139889_Node0_Node4_Zero,2000.513555,2000.515466,0,,0,6.363024822000001e-13,0
2000217233350_Node0_Node4_Zero,2000.532037,2000.53795,0,,1,6.363024822000001e-13,0
2000221332923_Node0_Node4_Zero,2000.535982,2000.541775,0,,0,5.842998000000001e-14,3.286686375000001e-14
2000225427501_Node0_Node4_Zero,2000.53985,2000.543837,0,,1,6.363024822000001e-13,0
2000229529510_Node0_Node4_Zero,2000.54994,2000.551971,0,,0,1.5907562055000003e-13,0
2000233630886_Node0_Node4_Zero,2000.562104,2000.567987,0,,1,6.947324622000001e-13,3.286686375000001e-14
2000237728698_Node0_Node4_Zero,2000.56597,2000.569956,0,,1,8.273896976677502e-14,4.654067049381095e-14
2000241826706_Node0_Node4_Zero,2000.57619,2000.578222,0,,0,6.363024822000001e-13,0
2000245926628_Node0_Node4_Zero,2000.594599,2000.59657,0,,1,6.947324622000001e-13,0
2000250024749_Node0_Node4_Zero,2000.599221,2000.605164,0,,0,6.363024822000001e-13,0
2000254125727_Node0_Node4_Zero,2000.603086,2000.607076,0,,1,8.273896976677502e-14,4.654067049381095e-14
2000258226670_Node0_Node4_Zero,2000.609378,2000.617258,0,,0,8.273896976677502e-14,4.654067049381095e-14
2000262322785_Node0_Node4_Zero,2000.615198,2000.619396,0,,1,6.363024822000001e-13,0
2000266420369_Node0_Node4_Zero,2000.622635,2000.628456,0,,0,6.363024822000001e-13,0
2000270519373_Node0_Node4_Zero,2000.624585,2000.630546,0,,0,6.363024822000001e-13,0
2000274615020_Node0_Node4_Zero,2000.626495,2000.632536,0,,0,8.273896976677502e-14,4.654067049381095e-14
2000278712639_Node0_Node4_Zero,2000.676813,2000.684443,0,,1,6.363024822000001e-13,0
2000282806882_Node0_Node4_Zero,2000.682529,2000.688448,0,,0,6.363024822000001e-13,0
2000286909214_Node0_Node4_Zero,2000.686317,2000.690338,0,,0,6.363024822000001e-13,0
2000291007288_Node0_Node4_Zero,2000.712417,2000.720235,0,,0,5.842998000000001e-14,0
2000295104822_Node0_Node4_Zero,2000.714347,2000.722396,0,,1,8.273896976677502e-14,0
2000299198898_Node0_Node4_Zero,2000.716277,2000.724476,0,,2,8.273896976677502e-14,0
2000303301701_Node0_Node4_Zero,2000.727745,2000.729936,0,,0,8.526732500273939e-14,4.7962870314040906e-14
2000307399654_Node0_Node4_Zero,2000.763822,2000.767788,0,,0,6.363024822000001e-13,0
2000311501034_Node0_Node4_Zero,2000.765812,2000.771593,0,,0,6.363024822000001e-13,0
2000315595561_Node0_Node4_Zero,2000.769659,2000.773743,0,,0,6.363024822000001e-13,0
2000319697680_Node0_Node4_Zero,2000.77993,2000.783868,0,,2,6.947324622000001e-13,0
2000323795959_Node0_Node4_Zero,2000.787289,2000.78948,0,,0,6.363024822000001e-13,0
2000327895047_Node0_Node4_Zero,2000.815359,2000.821254,0,,1,6.363024822000001e-13,0
2000331989567_Node0_Node4_Zero,2000.823156,2000.825147,0,,0,6.363024822000001e-13,0
2000336083686_Node0_Node4_Zero,2000.828939,2000.83091,0,,0,6.363024822000001e-13,0
2000340183261_Node0_Node4_Zero,2000.832806,2000.838622,0,,1,6.363024822000001e-13,0
2000344277570_Node0_Node4_Zero,2000.840583,2000.84459,0,,0,6.363024822000001e-13,0
2000348375465_Node0_Node4_Zero,2000.842673,2000.848514,0,,0,6.363024822000001e-13,0
2000352470972_Node0_Node4_Zero,2000.846481,2000.850604,0,,0,6.363024822000001e-13,0
2000356569889_Node0_Node4_Zero,2000.907759,2000.909831,0,,0,6.363024822000001e-13,0
2000360668739_Node0_Node4_Zero,2000.911904,2000.913915,0,,0,1.5907562055000003e-13,3.286686375000001e-14
2000364767067_Node0_Node4_Zero,2000.915794,2000.923602,0,,2,6.947324622000001e-13,0
2000368867135_Node0_Node4_Zero,2000.917704,2000.925517,0,,3,7.190414519667751e-13,0
2000372965768_Node0_Node4_Zero,2000.921536,2000.927657,0,,2,8.273896976677502e-14,4.654067049381095e-14
2000377059404_Node0_Node4_Zero,2000.931703,2000.933734,0,,0,6.363024822000001e-13,0
2000381153694_Node0_Node4_Zero,2000.952186,2000.956165,0,,1,6.363024822000001e-13,0
2000385254139_Node0_Node4_Zero,2000.959972,2000.961883,0,,0,6.363024822000001e-13,0
2000389352177_Node0_Node4_Zero,2000.966378,2000.968289,0,,0,6.363024822000001e-13,0
2000393452796_Node0_Node4_Zero,2000.977294,2000.98309,0,,1,6.363024822000001e-13,0
2000397556122_Node0_Node4_Zero,2000.985055,2000.989081,0,,0,6.363024822000001e-13,0
2000401654176_Node0_Node4_Zero,2000.987145,2000.991251,0,,0,6.363024822000001e-13,0
2000405757198_Node0_Node4_Zero,2000.995141,2000.997092,0,,0,6.363024822000001e-13,0
2000409857410_Node0_Node4_Zero,2001.001188,2001.008904,0,,2,6.363024822000001e-13,0
2000413955229_Node0_Node4_Zero,2001.010825,2001.012856,0,,0,6.363024822000001e-13,0
2000418049324_Node0_Node4_Zero,2001.014853,2001.018839,0,,0,6.363024822000001e-13,8.756209072524378e-14
2000422145894_Node0_Node4_Zero,2001.016923,2001.020936,0,,1,8.273896976677502e-14,4.654067049381095e-14
2000426240084_Node0_Node4_Zero,2001.071744,2001.07571,0,,0,6.363024822000001e-13,0
2000430336033_Node0_Node4_Zero,2001.073794,2001.079675,0,,0,6.363024822000001e-13,0
2000434434329_Node0_Node4_Zero,2001.077763,2001.081545,0,,1,6.947324622000001e-13,0
2000438536537_Node0_Node4_Zero,2001.08667,2001.090537,0,,0,6.363024822000001e-13,0
