Time_Window,Generated_Packets,Received_Packets,Instantaneous_PDR,Flow_ID,File_Path
2000.0-2001.0,488,63,0.1290983606557377,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2001.0-2002.0,488,43,0.08811475409836066,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2002.0-2003.0,373,72,0.19302949061662197,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2003.0-2004.0,238,56,0.23529411764705882,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2004.0-2005.0,235,77,0.3276595744680851,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2005.0-2006.0,261,60,0.22988505747126436,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2006.0-2007.0,238,61,0.25630252100840334,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2007.0-2008.0,257,93,0.36186770428015563,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2008.0-2009.0,282,93,0.32978723404255317,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2009.0-2010.0,305,78,0.25573770491803277,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2010.0-2011.0,338,79,0.23372781065088757,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2011.0-2012.0,238,67,0.2815126050420168,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2012.0-2013.0,288,75,0.2604166666666667,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2013.0-2014.0,188,86,0.4574468085106383,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2014.0-2015.0,245,87,0.3551020408163265,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2015.0-2016.0,231,106,0.4588744588744589,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2016.0-2017.0,235,87,0.3702127659574468,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2017.0-2018.0,241,94,0.3900414937759336,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2018.0-2019.0,238,92,0.3865546218487395,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2019.0-2020.0,238,97,0.40756302521008403,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2020.0-2021.0,288,94,0.3263888888888889,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2021.0-2022.0,238,100,0.42016806722689076,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2022.0-2023.0,209,66,0.3157894736842105,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2023.0-2024.0,242,101,0.41735537190082644,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2024.0-2025.0,213,72,0.3380281690140845,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2025.0-2026.0,238,62,0.2605042016806723,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2026.0-2027.0,273,83,0.304029304029304,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2027.0-2028.0,247,96,0.38866396761133604,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2028.0-2029.0,244,70,0.28688524590163933,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
2029.0-2030.0,238,101,0.42436974789915966,Flow_Node0-Node6,C:\Users\Ameliyn\MCA_Routing_BSCAP\Results_Multi_N100\daisy_chain_medium_1200_8-0_0\Flow_Node0-Node6.csv
