Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000012290073_Node0_Node4_Zero,2000.493335,2000.601333,1,RetryLimit,1335,1.1658346e-13,nan
2000014338291_Node0_Node4_Zero,2000.493335,2000.601333,1,RetryLimit,1335,1.1658346e-13,nan
2000016392422_Node0_Node4_Zero,2000.49715,2000.603446,0,,1247,7.572525408e-13,0
2000018436844_Node0_Node4_Zero,2000.49715,2000.603446,0,,1247,7.572525408e-13,0
2000020488678_Node0_Node4_Zero,2000.503089,2000.613033,0,,1337,1.8642770153501205e-13,1.0486558211344427e-13
2000022534184_Node0_Node4_Zero,2000.503089,2000.613033,0,,1337,1.8642770153501205e-13,1.0486558211344427e-13
2000024579923_Node0_Node4_Zero,2000.514788,2000.615223,0,,1249,7.572525408e-13,0
2000026631455_Node0_Node4_Zero,2000.514788,2000.615223,0,,1249,7.572525408e-13,0
2000028682036_Node0_Node4_Zero,2000.52265,2000.621091,0,,1249,7.572525408e-13,0
2000030730205_Node0_Node4_Zero,2000.52265,2000.621091,0,,1249,7.572525408e-13,0
2000032782165_Node0_Node4_Zero,2000.532361,2000.624855,0,,1160,7.572525408e-13,0
2000034835216_Node0_Node4_Zero,2000.532361,2000.624855,0,,1160,7.572525408e-13,0
2000036879937_Node0_Node4_Zero,2000.547816,2000.630499,0,,1160,7.572525408e-13,0
2000038932154_Node0_Node4_Zero,2000.547816,2000.630499,0,,1160,7.572525408e-13,0
2000040985661_Node0_Node4_Zero,2000.553646,2000.636341,0,,1250,9.43680242335012e-13,0
2000043029931_Node0_Node4_Zero,2000.553646,2000.636341,0,,1250,9.43680242335012e-13,0
2000045080515_Node0_Node4_Zero,2000.561336,2000.638443,0,,1161,7.572525408e-13,0
2000047127860_Node0_Node4_Zero,2000.561336,2000.638443,0,,1161,7.572525408e-13,0
2000049172109_Node0_Node4_Zero,2000.563386,2000.646148,0,,1250,8.738360007999999e-13,0
2000051217553_Node0_Node4_Zero,2000.563386,2000.646148,0,,1250,8.738360007999999e-13,0
2000053269447_Node0_Node4_Zero,2000.572992,2000.648018,0,,1161,1.1658346e-13,6.557819625e-14
2000055319919_Node0_Node4_Zero,2000.572992,2000.648018,0,,1161,1.1658346e-13,6.557819625e-14
2000057364854_Node0_Node4_Zero,2000.574862,2000.649948,0,,1072,7.572525408e-13,0
