Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000010873172_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.010873,2000.010983,inf,0,7,2343.0,0.0019159384514363241,0.0019159384514363241,2.396369,inf,22,22
2000021746245_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.021746,2000.054427,inf,1,7,2327.5,"0.0026547294278017404,0.0019159384514363241",0.002285,2.396369,inf,22,22
2000032618902_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.032619,2000.054427,inf,1,7,2327.5,"0.0026547294278017404,0.0019159384514363241",0.002285,2.396369,inf,22,22
2000043488411_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.043488,2000.058391,inf,2,7,2327.5,"0.0026547294278017404,0.0026547294278017404,0.0019159384514363241",0.002408,2.396369,inf,22,22
2000054357126_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.054357,2000.058391,inf,2,7,2327.5,"0.0026547294278017404,0.0026547294278017404,0.0019159384514363241",0.002408,2.396369,inf,22,22
2000065222012_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.065222,2000.065761,inf,3,7,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0019159384514363241",0.00247,2.396369,inf,22,22
2000076091397_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.076091,2000.076221,inf,3,7,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0019159384514363241",0.00247,2.396369,inf,22,22
2000086960882_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.086961,2000.087051,inf,4,7,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0019159384514363241",0.002507,2.396369,inf,22,22
2000097827274_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.097827,2000.097877,inf,4,7,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0019159384514363241",0.002507,2.396369,inf,22,22
2000108693919_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.108694,2000.109024,0.2475,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000119562354_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.119562,2000.119892,0.236632,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000130436059_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.130436,2000.131147,0.227728,5,3,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000141308450_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.141308,2000.141558,0.216856,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
2000152181759_Node0_Node5_Zero,"[0, 1, 2, 3, 4, 5]",2000.152182,2000.152492,0.208012,5,0,2343.0,"0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404,0.0026547294278017404",0.002655,3.320415,3.320415,22,22
