Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000010873172_Node0_Node5_Zero,2000.010873,2000.051881,1,RetryLimit,0,0,nan
2000021746245_Node0_Node5_Zero,2000.021746,2000.056231,0,,0,7.572525408e-13,0
2000032618902_Node0_Node5_Zero,2000.032619,2000.056231,0,,0,7.572525408e-13,0
2000043488411_Node0_Node5_Zero,2000.043488,2000.060194,0,,0,7.572525408e-13,0
2000054357126_Node0_Node5_Zero,2000.054357,2000.060194,0,,0,7.572525408e-13,0
2000065222012_Node0_Node5_Zero,2000.065222,2000.066725,0,,0,7.572525408e-13,0
2000076091397_Node0_Node5_Zero,2000.076091,2000.077185,0,,0,7.572525408e-13,0
2000086960882_Node0_Node5_Zero,2000.086961,2000.088014,0,,0,7.572525408e-13,0
2000097827274_Node0_Node5_Zero,2000.097827,2000.098841,0,,0,7.572525408e-13,0
2000108693919_Node0_Node5_Zero,2000.108694,2000.109987,0,,0,7.572525408e-13,0
2000119562354_Node0_Node5_Zero,2000.119562,2000.120856,0,,0,7.572525408e-13,0
2000130436059_Node0_Node5_Zero,2000.130436,2000.133958,0,,19,7.572525408e-13,0
2000141308450_Node0_Node5_Zero,2000.141308,2000.142522,0,,0,7.572525408e-13,0
2000152181759_Node0_Node5_Zero,2000.152182,2000.153455,0,,0,7.572525408e-13,0
2000163051651_Node0_Node5_Zero,2000.163052,2000.164205,0,,0,7.572525408e-13,0
2000173925075_Node0_Node5_Zero,2000.173925,2000.175701,0,,0,7.572525408e-13,0
2000184793260_Node0_Node5_Zero,2000.184793,2000.186107,0,,0,7.572525408e-13,0
2000195663268_Node0_Node5_Zero,2000.195663,2000.196897,0,,0,7.572525408e-13,0
2000206535502_Node0_Node5_Zero,2000.206536,2000.207809,0,,0,8.41391712e-13,0
2000217408668_Node0_Node5_Zero,2000.217409,2000.218722,0,,0,8.41391712e-13,0
2000228278349_Node0_Node5_Zero,2000.228278,2000.229572,0,,0,7.572525408e-13,0
2000239147248_Node0_Node5_Zero,2000.239147,2000.240321,0,,0,7.572525408e-13,0
2000250012212_Node0_Node5_Zero,2000.250012,2000.251266,0,,0,7.572525408e-13,0
2000260880010_Node0_Node5_Zero,2000.26088,2000.262014,0,,0,7.572525408e-13,0
2000271751729_Node0_Node5_Zero,2000.271752,2000.273045,0,,0,7.572525408e-13,0
2000282620744_Node0_Node5_Zero,2000.282621,2000.283854,0,,0,7.572525408e-13,0
2000293490122_Node0_Node5_Zero,2000.29349,2000.294504,0,,0,8.045808246e-13,0
2000304358308_Node0_Node5_Zero,2000.304358,2000.316683,0,,0,7.572525408e-13,0
2000315226977_Node0_Node5_Zero,2000.315227,2000.328226,0,,0,7.572525408e-13,0
2000326092849_Node0_Node5_Zero,2000.326093,2000.328226,0,,0,7.572525408e-13,0
2000336957996_Node0_Node5_Zero,2000.336958,2000.338172,0,,0,7.572525408e-13,0
2000347823071_Node0_Node5_Zero,2000.347823,2000.348917,0,,0,7.572525408e-13,0
2000358697252_Node0_Node5_Zero,2000.358697,2000.359811,0,,0,8.2283073705e-13,0
2000369569480_Node0_Node5_Zero,2000.369569,2000.370783,0,,0,8.2283073705e-13,0
2000380437524_Node0_Node5_Zero,2000.380438,2000.381671,0,,0,7.572525408e-13,0
2000391309089_Node0_Node5_Zero,2000.391309,2000.392603,0,,0,7.572525408e-13,0
2000402176827_Node0_Node5_Zero,2000.402177,2000.40325,0,,0,7.572525408e-13,0
2000413049940_Node0_Node5_Zero,2000.41305,2000.417493,0,,0,7.428806931005776e-14,1.32067678773436e-13
2000423917725_Node0_Node5_Zero,2000.423918,2000.426778,0,,0,7.572525408e-13,0
2000434788960_Node0_Node5_Zero,2000.434789,2000.436062,0,,0,7.572525408e-13,0
2000445661820_Node0_Node5_Zero,2000.445662,2000.446915,0,,0,7.572525408e-13,0
2000456530903_Node0_Node5_Zero,2000.456531,2000.457824,0,,0,7.572525408e-13,0
2000467398920_Node0_Node5_Zero,2000.467399,2000.468692,0,,0,7.572525408e-13,0
2000478269786_Node0_Node5_Zero,2000.47827,2000.479343,0,,0,7.572525408e-13,0
2000489144092_Node0_Node5_Zero,2000.489144,2000.490318,0,,0,7.572525408e-13,0
2000500014595_Node0_Node5_Zero,2000.500015,2000.501168,0,,0,7.572525408e-13,0
2000510881115_Node0_Node5_Zero,2000.510881,2000.511895,0,,0,7.572525408e-13,0
2000521754779_Node0_Node5_Zero,2000.521755,2000.523068,0,,0,7.572525408e-13,0
2000532621303_Node0_Node5_Zero,2000.532621,2000.533915,0,,0,7.572525408e-13,0
2000543489192_Node0_Node5_Zero,2000.543489,2000.544583,0,,0,7.572525408e-13,0
2000554355825_Node0_Node5_Zero,2000.554356,2000.555589,0,,0,7.572525408e-13,0
2000565221553_Node0_Node5_Zero,2000.565222,2000.566475,0,,0,7.572525408e-13,0
2000576095535_Node0_Node5_Zero,2000.576096,2000.577349,0,,0,7.572525408e-13,0
2000586966190_Node0_Node5_Zero,2000.586966,2000.5881,0,,0,7.572525408e-13,0
2000597839131_Node0_Node5_Zero,2000.597839,2000.599053,0,,0,7.572525408e-13,0
2000608708592_Node0_Node5_Zero,2000.608709,2000.609882,0,,0,7.572525408e-13,0
2000619575405_Node0_Node5_Zero,2000.619575,2000.620609,0,,0,7.572525408e-13,0
2000630445065_Node0_Node5_Zero,2000.630445,2000.631679,0,,0,7.572525408e-13,0
2000641313883_Node0_Node5_Zero,2000.641314,2000.642427,0,,0,7.572525408e-13,0
2000652182483_Node0_Node5_Zero,2000.652182,2000.653276,0,,0,7.572525408e-13,0
2000663049374_Node0_Node5_Zero,2000.663049,2000.664203,0,,0,7.572525408e-13,0
2000673919720_Node0_Node5_Zero,2000.67392,2000.675073,0,,0,7.572525408e-13,0
2000684790889_Node0_Node5_Zero,2000.684791,2000.685984,0,,0,7.572525408e-13,0
2000695665379_Node0_Node5_Zero,2000.695665,2000.696859,0,,0,7.572525408e-13,0
2000706539805_Node0_Node5_Zero,2000.70654,2000.707653,0,,0,7.572525408e-13,0
2000717405648_Node0_Node5_Zero,2000.717406,2000.718679,0,,0,7.572525408e-13,0
2000728276894_Node0_Node5_Zero,2000.728277,2000.72947,0,,0,7.572525408e-13,0
2000739143166_Node0_Node5_Zero,2000.739143,2000.740437,0,,0,7.572525408e-13,0
2000750009747_Node0_Node5_Zero,2000.75001,2000.751043,0,,0,7.572525408e-13,0
2000760882511_Node0_Node5_Zero,2000.760883,2000.762176,0,,0,7.572525408e-13,0
2000771753661_Node0_Node5_Zero,2000.771754,2000.772927,0,,0,7.572525408e-13,0
2000782620298_Node0_Node5_Zero,2000.78262,2000.783934,0,,0,7.572525408e-13,0
2000793490944_Node0_Node5_Zero,2000.793491,2000.794524,0,,0,7.572525408e-13,0
2000804364870_Node0_Node5_Zero,2000.804365,2000.805538,0,,0,7.572525408e-13,0
2000815234146_Node0_Node5_Zero,2000.815234,2000.816508,0,,0,7.572525408e-13,0
2000826099487_Node0_Node5_Zero,2000.826099,2000.827193,0,,0,7.572525408e-13,0
2000836965547_Node0_Node5_Zero,2000.836966,2000.838219,0,,0,7.572525408e-13,0
2000847835429_Node0_Node5_Zero,2000.847835,2000.848869,0,,0,7.572525408e-13,0
2000858705738_Node0_Node5_Zero,2000.858706,2000.859899,0,,0,7.572525408e-13,0
2000869577077_Node0_Node5_Zero,2000.869577,2000.870611,0,,0,7.572525408e-13,0
2000880449971_Node0_Node5_Zero,2000.88045,2000.881644,0,,0,7.572525408e-13,0
2000891322594_Node0_Node5_Zero,2000.891323,2000.892596,0,,0,7.572525408e-13,0
2000902196834_Node0_Node5_Zero,2000.902197,2000.90351,0,,0,7.572525408e-13,0
2000913068496_Node0_Node5_Zero,2000.913068,2000.914162,0,,0,7.572525408e-13,0
2000923940496_Node0_Node5_Zero,2000.92394,2000.925034,0,,0,7.572525408e-13,0
2000934812720_Node0_Node5_Zero,2000.934813,2000.936106,0,,0,7.572525408e-13,0
2000945677781_Node0_Node5_Zero,2000.945678,2000.946971,0,,0,7.572525408e-13,0
2000956546843_Node0_Node5_Zero,2000.956547,2000.9578,0,,0,7.572525408e-13,0
2000967417082_Node0_Node5_Zero,2000.967417,2000.968651,0,,0,7.572525408e-13,0
2000978290108_Node0_Node5_Zero,2000.97829,2000.979544,0,,0,7.572525408e-13,0
2000989161398_Node0_Node5_Zero,2000.989161,2000.990175,0,,0,7.572525408e-13,0
2001000029713_Node0_Node5_Zero,2001.00003,2001.001183,0,,0,7.572525408e-13,0
2001010895403_Node0_Node5_Zero,2001.010895,2001.012189,0,,0,7.572525408e-13,0
2001021768481_Node0_Node5_Zero,2001.021768,2001.023082,0,,0,7.572525408e-13,0
2001032636059_Node0_Node5_Zero,2001.032636,2001.03395,0,,0,7.572525408e-13,0
2001043503499_Node0_Node5_Zero,2001.043503,2001.044577,0,,0,7.572525408e-13,0
