Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000008194168_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.008194,2000.008344,inf,1,7,2343.0,"0.030655015222981186,0.030655015222981186",0.030655,2.396369,inf,22,22
2000016388631_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.016389,2000.017089,inf,2,7,2343.0,"0.010618917711206962,0.04247567084482785,0.030655015222981186",0.027917,1.309417,inf,22,22
2000024586730_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.024587,2000.024837,inf,2,7,2343.0,"0.010618917711206962,0.04247567084482785,0.030655015222981186",0.027917,2.396369,inf,22,22
2000032780213_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.03278,2000.03299,0.086477,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000040972745_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.040973,2000.041283,0.078284,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000049165103_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.049165,2000.049375,0.072162,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000057361997_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.057362,2000.059665,0.063965,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000065555358_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.065555,2000.06744,0.057722,3,1,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000073749952_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.07375,2000.07404,0.049527,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000081946893_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.081947,2000.082297,0.044428,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000090138893_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.090139,2000.091764,0.036236,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000098332318_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.098332,2000.098602,0.031177,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000106526286_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.106526,2000.106756,0.022983,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
2000114721047_Node0_Node5_Zero,"[0, 1, 3, 5]",2000.114721,2000.114971,0.016818,3,0,2343.0,"0.010618917711206962,0.04247567084482785,0.04247567084482785",0.031857,3.320415,3.320415,22,22
