Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2000010869105_Node0_Node5_Zero,"[0, 2, 5]",2000.010869,2000.011099,0.002203,2,0,2343.0,"0.030655015222981186,0.030655015222981186",0.030655,4.260211,4.260211,22,22
2000021735319_Node0_Node5_Zero,"[0, 2, 5]",2000.021735,2000.022065,0.002583,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000032609505_Node0_Node5_Zero,"[0, 2, 5]",2000.03261,2000.03266,0.002062,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000043481666_Node0_Node5_Zero,"[0, 2, 5]",2000.043482,2000.043732,0.002423,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000054355947_Node0_Node5_Zero,"[0, 2, 5]",2000.054356,2000.054506,0.002123,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000065224974_Node0_Node5_Zero,"[0, 2, 5]",2000.065225,2000.065355,0.002103,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000076098588_Node0_Node5_Zero,"[0, 2, 5]",2000.076099,2000.076329,0.002363,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000086965590_Node0_Node5_Zero,"[0, 2, 5]",2000.086966,2000.087236,0.002343,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000097832992_Node0_Node5_Zero,"[0, 2, 5]",2000.097833,2000.098143,0.002323,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000108706384_Node0_Node5_Zero,"[0, 2, 5]",2000.108706,2000.109056,0.002583,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000119580576_Node0_Node5_Zero,"[0, 2, 5]",2000.119581,2000.119651,0.002302,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000130447153_Node0_Node5_Zero,"[0, 2, 5]",2000.130447,2000.130697,0.002443,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000141318251_Node0_Node5_Zero,"[0, 2, 5]",2000.141318,2000.141668,0.002463,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000152186963_Node0_Node5_Zero,"[0, 2, 5]",2000.152187,2000.152517,0.002283,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000163056140_Node0_Node5_Zero,"[0, 2, 5]",2000.163056,2000.163346,0.002403,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000173922909_Node0_Node5_Zero,"[0, 2, 5]",2000.173923,2000.173993,0.002243,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000184788885_Node0_Node5_Zero,"[0, 2, 5]",2000.184789,2000.185079,0.002403,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000195661289_Node0_Node5_Zero,"[0, 2, 5]",2000.195661,2000.195731,0.002223,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000206530024_Node0_Node5_Zero,"[0, 2, 5]",2000.20653,2000.20684,0.002443,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000217400289_Node0_Node5_Zero,"[0, 2, 5]",2000.2174,2000.21757,0.002303,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000228266377_Node0_Node5_Zero,"[0, 2, 5]",2000.228266,2000.228456,0.002423,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000239136234_Node0_Node5_Zero,"[0, 2, 5]",2000.239136,2000.239246,0.002343,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000250004610_Node0_Node5_Zero,"[0, 2, 5]",2000.250005,2000.250155,0.002203,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000260874201_Node0_Node5_Zero,"[0, 2, 5]",2000.260874,2000.261184,0.002383,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000271744846_Node0_Node5_Zero,"[0, 2, 5]",2000.271745,2000.272015,0.002283,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000282614073_Node0_Node5_Zero,"[0, 2, 5]",2000.282614,2000.282724,0.002083,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000293483312_Node0_Node5_Zero,"[0, 2, 5]",2000.293483,2000.293553,0.002323,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000304356246_Node0_Node5_Zero,"[0, 2, 5]",2000.304356,2000.304526,0.002223,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000315222650_Node0_Node5_Zero,"[0, 2, 5]",2000.315223,2000.315353,0.002223,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000326096134_Node0_Node5_Zero,"[0, 2, 5]",2000.326096,2000.326206,0.002203,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000336964081_Node0_Node5_Zero,"[0, 2, 5]",2000.336964,2000.337174,0.002223,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000347832080_Node0_Node5_Zero,"[0, 2, 5]",2000.347832,2000.347942,0.002063,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000358701517_Node0_Node5_Zero,"[0, 2, 5]",2000.358702,2000.358932,0.002262,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000369573360_Node0_Node5_Zero,"[0, 2, 5]",2000.369573,2000.369863,0.002283,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000380445223_Node0_Node5_Zero,"[0, 2, 5]",2000.380445,2000.380655,0.002463,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000391315341_Node0_Node5_Zero,"[0, 2, 5]",2000.391315,2000.391665,0.002463,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000402187334_Node0_Node5_Zero,"[0, 2, 5]",2000.402187,2000.402337,0.002363,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000413060927_Node0_Node5_Zero,"[0, 2, 5]",2000.413061,2000.413191,0.002103,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000423926452_Node0_Node5_Zero,"[0, 2, 5]",2000.423926,2000.424016,0.002223,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000434797391_Node0_Node5_Zero,"[0, 2, 5]",2000.434797,2000.434847,0.002003,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000445665913_Node0_Node5_Zero,"[0, 2, 5]",2000.445666,2000.445776,0.002063,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000456533466_Node0_Node5_Zero,"[0, 2, 5]",2000.456533,2000.456703,0.002283,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000467404152_Node0_Node5_Zero,"[0, 2, 5]",2000.467404,2000.467754,0.002403,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000478276423_Node0_Node5_Zero,"[0, 2, 5]",2000.478276,2000.478346,0.002023,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000489141099_Node0_Node5_Zero,"[0, 2, 5]",2000.489141,2000.489251,0.002263,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000500007748_Node0_Node5_Zero,"[0, 2, 5]",2000.500008,2000.500218,0.002363,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
2000510875980_Node0_Node5_Zero,"[0, 2, 5]",2000.510876,2000.510986,0.002263,2,0,2343.0,"0.010618917711206962,0.02389256485021567",0.017256,3.320415,3.320415,22,22
