Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000024596382_Node0_Node5_Zero,2000.251911,2000.345673,1,RetryLimit,2492,1.8642770153501205e-13,nan
2000028696888_Node0_Node5_Zero,2000.251911,2000.345673,1,RetryLimit,2492,1.8642770153501205e-13,nan
2000032791856_Node0_Node5_Zero,2000.256927,2000.354905,0,,2404,8.738360007999999e-13,0
2000036894377_Node0_Node5_Zero,2000.256927,2000.354905,0,,2404,8.738360007999999e-13,0
2000040991560_Node0_Node5_Zero,2000.263363,2000.358937,0,,2315,7.572525408e-13,0
2000045090161_Node0_Node5_Zero,2000.263363,2000.358937,0,,2315,7.572525408e-13,0
2000049189268_Node0_Node5_Zero,2000.265453,2000.366557,0,,2311,7.572525408e-13,0
2000053289603_Node0_Node5_Zero,2000.265453,2000.366557,0,,2311,7.572525408e-13,0
2000057387593_Node0_Node5_Zero,2000.270003,2000.370412,0,,2311,1.47625345126672e-13,8.3039256633753e-14
2000061482743_Node0_Node5_Zero,2000.270003,2000.370412,0,,2311,1.47625345126672e-13,8.3039256633753e-14
2000065580123_Node0_Node5_Zero,2000.272133,2000.372513,0,,2224,9.04877885926672e-13,0
2000069678307_Node0_Node5_Zero,2000.272133,2000.372513,0,,2224,9.04877885926672e-13,0
2000073775413_Node0_Node5_Zero,2000.279212,2000.37731,0,,2193,7.572525408e-13,0
2000077878059_Node0_Node5_Zero,2000.279212,2000.37731,0,,2193,7.572525408e-13,0
2000081979827_Node0_Node5_Zero,2000.282232,2000.37928,0,,2105,9.04877885926672e-13,8.3039256633753e-14
2000086082212_Node0_Node5_Zero,2000.282232,2000.37928,0,,2105,9.04877885926672e-13,8.3039256633753e-14
2000090177590_Node0_Node5_Zero,2000.284262,2000.381287,0,,2017,7.572525408e-13,0
2000094274262_Node0_Node5_Zero,2000.284262,2000.381287,0,,2017,7.572525408e-13,0
2000098374578_Node0_Node5_Zero,2000.286192,2000.389056,0,,2009,7.572525408e-13,0
2000102476848_Node0_Node5_Zero,2000.286192,2000.389056,0,,2009,7.572525408e-13,0
2000106571511_Node0_Node5_Zero,2000.289364,2000.390946,0,,1920,7.572525408e-13,0
2000110671215_Node0_Node5_Zero,2000.289364,2000.390946,0,,1920,7.572525408e-13,0
2000114771616_Node0_Node5_Zero,2000.291234,2000.394801,0,,1831,7.572525408e-13,0
2000118870744_Node0_Node5_Zero,2000.291234,2000.394801,0,,1831,7.572525408e-13,0
2000122972936_Node0_Node5_Zero,2000.293264,2000.402591,0,,1912,7.572525408e-13,0
2000127069696_Node0_Node5_Zero,2000.293264,2000.402591,0,,1912,7.572525408e-13,0
2000131169402_Node0_Node5_Zero,2000.295334,2000.408871,0,,1897,7.572525408e-13,0
2000135267510_Node0_Node5_Zero,2000.295334,2000.408871,0,,1897,7.572525408e-13,0
2000139368774_Node0_Node5_Zero,2000.297264,2000.412765,0,,1897,7.572525408e-13,0
2000143470082_Node0_Node5_Zero,2000.297264,2000.412765,0,,1897,7.572525408e-13,0
2000147568644_Node0_Node5_Zero,2000.303077,2000.414695,0,,1808,1.47625345126672e-13,8.3039256633753e-14
2000151663839_Node0_Node5_Zero,2000.303077,2000.414695,0,,1808,1.47625345126672e-13,8.3039256633753e-14
2000155760208_Node0_Node5_Zero,2000.304947,2000.416826,0,,1720,7.572525408e-13,0
2000159853942_Node0_Node5_Zero,2000.304947,2000.416826,0,,1720,7.572525408e-13,0
2000163952839_Node0_Node5_Zero,2000.307941,2000.418736,0,,1631,7.572525408e-13,0
2000168049811_Node0_Node5_Zero,2000.307941,2000.418736,0,,1631,7.572525408e-13,0
2000172144350_Node0_Node5_Zero,2000.311013,2000.424557,0,,1720,7.572525408e-13,0
2000176239533_Node0_Node5_Zero,2000.311013,2000.424557,0,,1720,7.572525408e-13,0
2000180341474_Node0_Node5_Zero,2000.312983,2000.43027,0,,1810,9.04877885926672e-13,0
2000184434895_Node0_Node5_Zero,2000.312983,2000.43027,0,,1810,9.04877885926672e-13,0
2000188528573_Node0_Node5_Zero,2000.316175,2000.446406,0,,1992,7.572525408e-13,0
2000192628446_Node0_Node5_Zero,2000.316175,2000.446406,0,,1992,7.572525408e-13,0
2000196727932_Node0_Node5_Zero,2000.319274,2000.451421,0,,1942,9.04877885926672e-13,0
2000200831041_Node0_Node5_Zero,2000.319274,2000.451421,0,,1942,9.04877885926672e-13,0
2000204924580_Node0_Node5_Zero,2000.32246,2000.453327,0,,1854,9.04877885926672e-13,0
2000209019444_Node0_Node5_Zero,2000.32246,2000.453327,0,,1854,9.04877885926672e-13,0
2000213120068_Node0_Node5_Zero,2000.32449,2000.455407,0,,1765,7.572525408e-13,0
2000217214280_Node0_Node5_Zero,2000.32449,2000.455407,0,,1765,7.572525408e-13,0
2000221316952_Node0_Node5_Zero,2000.329493,2000.46539,0,,2034,1.6741545306813371e-13,0
2000225413368_Node0_Node5_Zero,2000.329493,2000.46539,0,,2034,1.6741545306813371e-13,0
2000229515846_Node0_Node5_Zero,2000.332645,2000.467326,0,,1947,9.246679938681337e-13,0
2000233613584_Node0_Node5_Zero,2000.332645,2000.467326,0,,1947,9.246679938681337e-13,0
