Packet ID,Enqueue Time (in s),Dequeue Time (in s),Dropped?,Drop Reason,Freezes,Tx INTF,Rx INTF
2000008197541_Node0_Node5_Zero,2000.016178,2000.018306,0,,0,7.9011940455e-13,0
2000016398416_Node0_Node5_Zero,2000.024739,2000.026907,0,,0,7.572525408e-13,0
2000024590236_Node0_Node5_Zero,2000.03297,2000.034978,0,,0,7.572525408e-13,0
2000032782029_Node0_Node5_Zero,2000.040822,2000.04285,0,,0,8.41391712e-14,2.1034792800000005e-14
2000040981890_Node0_Node5_Zero,2000.049242,2000.05125,0,,0,7.96601188829448e-13,0
2000049181428_Node0_Node5_Zero,2000.057242,2000.05917,0,,0,7.572525408e-13,0
2000057375169_Node0_Node5_Zero,2000.065455,2000.067663,0,,0,7.961966519916938e-13,0
2000065574593_Node0_Node5_Zero,2000.073775,2000.075703,0,,0,8.41391712e-13,0
2000073770136_Node0_Node5_Zero,2000.08157,2000.083658,0,,0,3.286686375000001e-14,0
2000081964756_Node0_Node5_Zero,2000.090085,2000.092093,0,,0,7.572525408e-13,0
2000090157953_Node0_Node5_Zero,2000.098198,2000.100406,0,,0,7.572525408e-13,0
2000098356039_Node0_Node5_Zero,2000.106376,2000.108464,0,,0,7.9011940455e-13,0
2000106551355_Node0_Node5_Zero,2000.114612,2000.116619,0,,0,3.942344891343301e-14,2.5231007304597127e-14
2000114751484_Node0_Node5_Zero,2000.122892,2000.125,0,,0,7.572525408e-13,0
2000122945507_Node0_Node5_Zero,2000.131306,2000.133234,0,,0,3.894411119169376e-14,0
2000131143324_Node0_Node5_Zero,2000.139204,2000.141191,0,,0,3.894411119169376e-14,2.4924231162684006e-14
2000139344059_Node0_Node5_Zero,2000.147144,2000.149292,0,,0,7.572525408e-13,0
2000147537945_Node0_Node5_Zero,2000.155578,2000.157546,0,,0,7.572525408e-13,0
2000155731140_Node0_Node5_Zero,2000.163931,2000.165959,0,,0,7.572525408e-13,0
2000163929661_Node0_Node5_Zero,2000.17177,2000.173918,0,,0,4.1618100066039e-14,2.6635584042264962e-14
2000172129577_Node0_Node5_Zero,2000.18029,2000.182418,0,,0,7.572525408e-13,2.5231007304597127e-14
2000180330984_Node0_Node5_Zero,2000.188331,2000.190519,0,,0,3.286686375000001e-14,0
2000188527258_Node0_Node5_Zero,2000.196907,2000.198975,0,,0,8.156825208e-13,0
2000196727560_Node0_Node5_Zero,2000.204548,2000.206736,0,,0,4.1618100066039e-14,0
2000204925366_Node0_Node5_Zero,2000.212926,2000.215014,0,,0,7.572525408e-13,0
2000213117465_Node0_Node5_Zero,2000.221198,2000.223346,0,,0,7.572525408e-13,0
2000221319062_Node0_Node5_Zero,2000.229419,2000.231387,0,,0,7.9011940455e-13,0
2000229513251_Node0_Node5_Zero,2000.237333,2000.239441,0,,0,7.96675989713433e-13,0
2000237707348_Node0_Node5_Zero,2000.245888,2000.247935,0,,0,7.572525408e-13,0
2000245908096_Node0_Node5_Zero,2000.253728,2000.255816,0,,0,3.286686375000001e-14,0
2000254104416_Node0_Node5_Zero,2000.262225,2000.264213,0,,0,8.41391712e-14,0
2000262297716_Node0_Node5_Zero,2000.270618,2000.272706,0,,0,7.572525408e-13,0
2000270491676_Node0_Node5_Zero,2000.278492,2000.2807,0,,0,4.1618100066039e-14,2.6635584042264962e-14
2000278692808_Node0_Node5_Zero,2000.286913,2000.289061,0,,0,7.572525408e-13,0
2000286893570_Node0_Node5_Zero,2000.294854,2000.296802,0,,0,7.9011940455e-13,0
2000295088429_Node0_Node5_Zero,2000.303109,2000.305017,0,,0,7.572525408e-13,0
2000303282410_Node0_Node5_Zero,2000.311183,2000.313231,0,,0,7.572525408e-13,0
2000311475278_Node0_Node5_Zero,2000.319235,2000.321363,0,,0,7.961966519916938e-13,0
2000319672993_Node0_Node5_Zero,2000.327653,2000.329601,0,,0,7.961966519916938e-13,0
2000327870035_Node0_Node5_Zero,2000.33609,2000.338158,0,,0,7.572525408e-13,0
2000336070011_Node0_Node5_Zero,2000.34387,2000.345818,0,,0,3.286686375000001e-14,2.1034792800000005e-14
2000344270838_Node0_Node5_Zero,2000.352171,2000.354239,0,,0,3.942344891343301e-14,0
2000352466680_Node0_Node5_Zero,2000.360787,2000.362695,0,,0,7.572525408e-13,0
2000360664141_Node0_Node5_Zero,2000.368804,2000.370712,0,,0,7.98870640866039e-13,2.6635584042264962e-14
2000368863148_Node0_Node5_Zero,2000.376643,2000.378611,0,,0,3.942344891343301e-14,2.5231007304597127e-14
2000377063427_Node0_Node5_Zero,2000.385024,2000.387072,0,,0,7.572525408e-13,0
2000385255181_Node0_Node5_Zero,2000.393515,2000.395503,0,,0,7.572525408e-13,0
2000393448186_Node0_Node5_Zero,2000.401408,2000.403616,0,,0,7.572525408e-13,0
2000401647320_Node0_Node5_Zero,2000.409568,2000.411475,0,,0,3.286686375000001e-14,0
2000409844064_Node0_Node5_Zero,2000.418044,2000.420112,0,,0,3.9516950018414215e-14,2.5290848011785097e-14
2000418045472_Node0_Node5_Zero,2000.426086,2000.428194,0,,0,7.572525408e-13,0
2000426239184_Node0_Node5_Zero,2000.434379,2000.436527,0,,0,7.961966519916938e-13,0
2000434435544_Node0_Node5_Zero,2000.442496,2000.444604,0,,0,7.572525408e-13,0
2000442628245_Node0_Node5_Zero,2000.450868,2000.452856,0,,0,7.572525408e-13,0
2000450829645_Node0_Node5_Zero,2000.45859,2000.460538,0,,0,4.1618100066039e-14,2.6635584042264962e-14
2000459028316_Node0_Node5_Zero,2000.467109,2000.469196,0,,0,3.942344891343301e-14,0
2000467224625_Node0_Node5_Zero,2000.475205,2000.477113,0,,0,7.572525408e-13,0
2000475418668_Node0_Node5_Zero,2000.483059,2000.485167,0,,0,7.961966519916938e-13,0
